adrs,drug_id,name,smile
"14, 08, 13, 10, 21, 03, 02, 24, 19, 01, 17, 11, 22, 23, 20, 15, 12, 07",DB00006,Bivalirudin,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O
"21, 03, 24, 17, 25, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 18, 15",DB00014,Goserelin,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O
"21, 24, 17, 25, 07, 08, 26, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00035,Desmopressin,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O
"21, 03, 24, 17, 25, 07, 08, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 06, 18, 15",DB00050,Cetrorelix,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
"21, 04, 24, 17, 07, 08, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00080,Daptomycin,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=C(N)C=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O
"21, 04, 24, 17, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00104,Octreotide,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O
10,DB00106,Abarelix,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
"14, 08, 10, 16, 02, 19, 01, 24, 11, 17, 22, 23, 15, 07",DB00115,Cyanocobalamin,[C@H]1([C@@H]2[C@H]([C@@H](N3C4=CC(=C(C)C=C4[N+]([Co-3]456(N7C8=C(C9=[N+]4C(C([C@@H]9CCC(N)=O)(C)C)=CC4=[N+]5C(=C(C5=[N+]6[C@@]([C@]7([C@@H]([C@@]8(C)CCC(=O)NC[C@@]([H])(C)OP([O-])(=O)O2)CC(N)=O)[H])([C@@]([C@@H]5CCC(N)=O)(C)CC(N)=O)C)C)[C@@]([C@@H]4CCC(N)=O)(C)CC(N)=O)C)C#N)=C3)C)O1)O)CO
"08, 10, 13, 24, 02, 17, 25, 22, 23, 20, 07",DB00125,L-Arginine,N[C@@H](CCCNC(N)=N)C(O)=O
"14, 08, 13, 21, 10, 02, 11, 19, 24, 17, 06, 22, 05, 23, 20, 15, 12, 07",DB00136,Calcitriol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
"08, 10, 04, 24, 02, 07, 09, 17, 06, 11, 22, 23, 20, 15, 14",DB00145,Glycine,NCC(O)=O
"08, 10, 24, 02, 07, 19, 17, 23, 14",DB00150,L-Tryptophan,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O
"08, 24, 23, 12, 07",DB00151,L-Cysteine,N[C@@H](CS)C(O)=O
"08, 10, 24, 02, 07, 19, 17, 22, 23, 13, 15, 14",DB00152,Thiamine,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
"08, 13, 26, 24, 07, 01, 17, 19, 05, 20, 15, 14",DB00153,Ergocalciferol,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
"21, 24, 17, 07, 08, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00159,Icosapent,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
"08, 10, 24, 02, 19, 17, 06, 22, 23",DB00162,Vitamin A,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
"19, 17, 13",DB00165,Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1
"21, 03, 04, 24, 17, 07, 08, 26, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00175,Pravastatin,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
"21, 03, 04, 24, 17, 25, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 18, 15",DB00176,Fluvoxamine,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F
"14, 08, 10, 21, 20, 04, 24, 09, 19, 11, 17, 02, 01, 06, 22, 23, 13, 15, 07",DB00177,Valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
"21, 04, 24, 17, 07, 08, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00178,Ramipril,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
"21, 04, 24, 17, 25, 07, 08, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00180,Flunisolide,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
"21, 04, 24, 17, 25, 07, 08, 26, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00181,Baclofen,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
"14, 08, 10, 21, 20, 24, 02, 19, 11, 17, 22, 23, 13, 15, 12, 07",DB00182,Amphetamine,CC(N)CC1=CC=CC=C1
"14, 08, 21, 10, 26, 04, 02, 11, 19, 24, 17, 06, 01, 22, 23, 13, 15, 12, 07",DB00184,Nicotine,CN1CCC[C@H]1C1=CN=CC=C1
"21, 04, 24, 17, 25, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 18, 15",DB00185,Cevimeline,CC1O[C@@]2(CS1)CN1CCC2CC1
"21, 04, 24, 17, 07, 08, 26, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00186,Lorazepam,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
"14, 08, 13, 26, 10, 24, 02, 19, 11, 17, 06, 01, 22, 23, 20, 15, 12, 07",DB00187,Esmolol,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
"21, 03, 04, 24, 17, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 18, 15",DB00188,Bortezomib,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
"08, 10, 21, 20, 24, 02, 07, 19, 17, 06, 01, 11, 22, 16, 23, 13, 15, 12, 14",DB00190,Carbidopa,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
"08, 10, 21, 24, 02, 19, 17, 25, 22, 23, 13, 07",DB00191,Phentermine,CC(C)(N)CC1=CC=CC=C1
"21, 03, 04, 24, 17, 25, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00193,Tramadol,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C
"08, 10, 24, 17, 06, 23, 13, 12",DB00194,Vidarabine,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
"21, 03, 04, 24, 17, 07, 08, 26, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 18, 15",DB00195,Betaxolol,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
"14, 08, 10, 20, 04, 24, 09, 11, 01, 17, 02, 19, 16, 22, 23, 13, 15, 12, 07",DB00196,Fluconazole,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
"14, 08, 02, 09, 19, 01, 17, 24, 05, 23, 13, 07",DB00197,Troglitazone,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
"14, 08, 10, 04, 02, 11, 19, 24, 17, 09, 01, 06, 22, 05, 23, 13, 15, 12, 07",DB00198,Oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
"14, 08, 10, 20, 04, 02, 09, 11, 24, 17, 19, 06, 22, 23, 13, 15, 12, 07",DB00199,Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
"14, 08, 10, 20, 21, 02, 24, 19, 17, 22, 23, 13, 12, 07",DB00200,Hydroxocobalamin,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
"14, 08, 13, 24, 11, 02, 19, 17, 06, 18, 01, 22, 05, 23, 20, 12, 07",DB00201,Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
"14, 08, 10, 13, 24, 02, 17, 22, 23, 20, 15, 12, 07",DB00202,Succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
"21, 03, 04, 24, 17, 07, 08, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00203,Sildenafil,CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1
"14, 08, 10, 02, 11, 24, 09, 17, 19, 22, 23, 20, 15, 12, 07",DB00204,Dofetilide,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
"08, 10, 03, 24, 02, 11, 01, 17, 07, 19, 22, 23, 20, 12, 14",DB00205,Pyrimethamine,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
"14, 08, 21, 20, 10, 04, 24, 02, 19, 01, 17, 06, 18, 22, 05, 23, 13, 15, 07",DB00206,Reserpine,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
