approved,drug_id,experimental,illicit,investigational,name,nutraceutical,smile,vet_approved,withdrawn,adrs
1,DB00006,0,0,1,Bivalirudin,0,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,0,0,"14, 08, 13, 10, 21, 03, 02, 24, 19, 01, 17, 11, 22, 23, 20, 15, 12, 07"
1,DB00014,0,0,0,Goserelin,0,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,0,0,"21, 03, 24, 17, 25, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 18, 15"
1,DB00027,0,0,0,Gramicidin D,0,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCCO,0,0,
1,DB00035,0,0,0,Desmopressin,0,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,0,0,"21, 24, 17, 25, 07, 08, 26, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15"
1,DB00050,0,0,1,Cetrorelix,0,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,0,0,"21, 03, 24, 17, 25, 07, 08, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 06, 18, 15"
1,DB00080,0,0,1,Daptomycin,0,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=C(N)C=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,0,0,"21, 04, 24, 17, 07, 08, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15"
1,DB00091,0,0,1,Ciclosporin,0,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,1,0,
0,DB00093,1,0,0,Felypressin,0,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,0,0,
1,DB00104,0,0,1,Octreotide,0,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O,0,0,"21, 04, 24, 17, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15"
1,DB00106,0,0,1,Abarelix,0,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,0,1,10
1,DB00114,0,0,1,Pyridoxal phosphate,1,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,0,0,
1,DB00115,0,0,0,Cyanocobalamin,1,[C@H]1([C@@H]2[C@H]([C@@H](N3C4=CC(=C(C)C=C4[N+]([Co-3]456(N7C8=C(C9=[N+]4C(C([C@@H]9CCC(N)=O)(C)C)=CC4=[N+]5C(=C(C5=[N+]6[C@@]([C@]7([C@@H]([C@@]8(C)CCC(=O)NC[C@@]([H])(C)OP([O-])(=O)O2)CC(N)=O)[H])([C@@]([C@@H]5CCC(N)=O)(C)CC(N)=O)C)C)[C@@]([C@@H]4CCC(N)=O)(C)CC(N)=O)C)C#N)=C3)C)O1)O)CO,0,0,"14, 08, 10, 16, 02, 19, 01, 24, 11, 17, 22, 23, 15, 07"
0,DB00116,0,0,0,Tetrahydrofolic acid,1,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,0,0,
1,DB00117,0,0,0,Histidine,1,N[C@@H](CC1=CN=CN1)C(O)=O,0,0,
1,DB00118,0,0,1,Ademetionine,1,[H][C@](N)(CC[S+](C)C[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C([O-])=O,0,0,
1,DB00119,0,0,1,Pyruvic acid,1,CC(=O)C(O)=O,0,0,
1,DB00120,0,0,1,L-Phenylalanine,1,N[C@@H](CC1=CC=CC=C1)C(O)=O,0,0,
1,DB00121,0,0,1,Biotin,1,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,0,0,
1,DB00122,0,0,0,Choline,1,C[N+](C)(C)CCO,0,0,
1,DB00123,0,0,0,L-Lysine,1,NCCCC[C@H](N)C(O)=O,0,0,
1,DB00125,0,0,0,L-Arginine,1,N[C@@H](CCCNC(N)=N)C(O)=O,0,0,"08, 10, 13, 24, 02, 17, 25, 22, 23, 20, 07"
1,DB00126,0,0,0,Ascorbic acid,1,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,0,0,
0,DB00127,1,0,0,Spermine,1,NCCCNCCCCNCCCN,0,0,
1,DB00128,0,0,0,Aspartic acid,1,N[C@@H](CC(O)=O)C(O)=O,0,0,
1,DB00129,0,0,0,Ornithine,1,NCCC[C@H](N)C(O)=O,0,0,
1,DB00130,0,0,1,L-Glutamine,1,N[C@@H](CCC(N)=O)C(O)=O,0,0,
1,DB00131,0,0,1,Adenosine phosphate,1,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,0,0,
1,DB00132,0,0,1,Alpha-Linolenic Acid,1,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,0,0,
1,DB00133,0,0,0,Serine,1,N[C@@H](CO)C(O)=O,0,0,
1,DB00134,0,0,0,Methionine,1,CSCC[C@H](N)C(O)=O,0,0,
1,DB00135,0,0,1,Tyrosine,1,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,0,0,
1,DB00136,0,0,0,Calcitriol,1,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,0,0,"14, 08, 13, 21, 10, 02, 11, 19, 24, 17, 06, 22, 05, 23, 20, 15, 12, 07"
1,DB00137,0,0,1,Lutein,1,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,0,0,
1,DB00138,0,0,0,Cystine,1,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,0,0,
1,DB00139,0,0,0,Succinic acid,1,OC(=O)CCC(O)=O,0,0,
1,DB00140,0,0,1,Riboflavin,1,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,1,0,
1,DB00141,0,0,1,N-Acetylglucosamine,1,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,0,0,
1,DB00142,0,0,0,Glutamic Acid,1,N[C@@H](CCC(O)=O)C(O)=O,0,0,
1,DB00143,0,0,1,Glutathione,1,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,0,0,
1,DB00144,0,0,1,Phosphatidyl serine,1,CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O,0,0,
1,DB00145,0,0,0,Glycine,1,NCC(O)=O,1,0,"08, 10, 04, 24, 02, 07, 09, 17, 06, 11, 22, 23, 20, 15, 14"
1,DB00146,0,0,0,Calcifediol,1,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,0,0,
0,DB00147,1,0,0,Pyridoxal,1,CC1=NC=C(CO)C(C=O)=C1O,0,0,
1,DB00148,0,0,1,Creatine,1,CN(CC(O)=O)C(N)=N,0,0,
1,DB00149,0,0,0,L-Leucine,1,CC(C)C[C@H](N)C(O)=O,0,0,
1,DB00150,0,0,0,L-Tryptophan,1,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,0,1,"08, 10, 24, 02, 07, 19, 17, 23, 14"
1,DB00151,0,0,0,L-Cysteine,1,N[C@@H](CS)C(O)=O,0,0,"08, 24, 23, 12, 07"
1,DB00152,0,0,1,Thiamine,1,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,1,0,"08, 10, 24, 02, 07, 19, 17, 22, 23, 13, 15, 14"
1,DB00153,0,0,0,Ergocalciferol,1,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,0,0,"08, 13, 26, 24, 07, 01, 17, 19, 05, 20, 15, 14"
0,DB00154,0,0,1,Dihomo-gamma-linolenic acid,1,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,0,0,
1,DB00155,0,0,1,L-Citrulline,1,N[C@@H](CCCNC(N)=O)C(O)=O,0,0,
1,DB00156,0,0,0,L-Threonine,1,C[C@@H](O)[C@H](N)C(O)=O,0,0,
1,DB00157,0,0,0,NADH,1,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,0,0,
1,DB00158,0,0,0,Folic acid,1,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,1,0,
1,DB00159,0,0,0,Icosapent,1,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,0,0,"21, 24, 17, 07, 08, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15"
1,DB00160,0,0,0,L-Alanine,1,C[C@H](N)C(O)=O,0,0,
1,DB00161,0,0,0,L-Valine,1,CC(C)[C@H](N)C(O)=O,0,0,
1,DB00162,0,0,0,Vitamin A,1,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,1,0,"08, 10, 24, 02, 19, 17, 06, 22, 23"
1,DB00163,0,0,0,Vitamin E,1,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,1,0,
1,DB00165,0,0,1,Pyridoxine,1,CC1=C(O)C(CO)=C(CO)C=N1,1,0,"19, 17, 13"
